시설명,업종명,소재지도로명주소,소재지지번주소,위도,경도,영업상태명,운반용차량보유여부,저장시설보유여부,전화번호,관리기관명,데이터기준일자,제공기관코드,제공기관명
새남성약업사,한약도매,"대구광역시 중구 중앙대로77길 45, 3층 7호",,35.86821855,128.5909786,영업,N,Y,053-255-0554,대구광역시 중구,2024-08-06,3410000,대구광역시 중구
보광약업사,한약도매,대구광역시 중구 남성로 8,,35.86888514,128.5878625,영업,N,Y,053-252-1380,대구광역시 중구,2024-08-06,3410000,대구광역시 중구
광진약업사,한약도매,대구광역시 중구 남성로 36,,35.86748605,128.5905504,영업,N,Y,053-253-6076,대구광역시 중구,2024-08-06,3410000,대구광역시 중구
상고당약업사,한약도매,대구광역시 중구 남성로 55,,35.8674542,128.5929679,영업,N,N,053-256-3121,대구광역시 중구,2024-08-06,3410000,대구광역시 중구
만수당약업사,한약도매,대구광역시 중구 남성로 51,,35.86728749,128.5923218,영업,N,Y,053-754-4814,대구광역시 중구,2024-08-06,3410000,대구광역시 중구
동화당약업사,한약도매,대구광역시 중구 남성로 27,,35.86797329,128.589891,영업,N,Y,053-256-5567,대구광역시 중구,2024-08-06,3410000,대구광역시 중구
대훈약업사,한약도매,대구광역시 중구 남성로 41-1,,35.86747023,128.5913097,영업,N,Y,053-256-3358,대구광역시 중구,2024-08-06,3410000,대구광역시 중구
보원약업사,한약도매,대구광역시 중구 달구벌대로415길 25,,35.86746665,128.5899211,영업,N,Y,053-253-3188,대구광역시 중구,2024-08-06,3410000,대구광역시 중구
동남약업사,한약도매,대구광역시 중구 남성로 45,,35.86736877,128.5915878,영업,N,Y,053-253-1030,대구광역시 중구,2024-08-06,3410000,대구광역시 중구
합천약업사,한약도매,대구광역시 중구 약령길 39,,35.86815626,128.588985,영업,N,Y,053-256-8933,대구광역시 중구,2024-08-06,3410000,대구광역시 중구
청산약업사,한약도매,"대구광역시 중구 중앙대로67길 10, 1층 117호",,35.8635084,128.5921861,영업,N,Y,053-427-1515,대구광역시 중구,2024-08-06,3410000,대구광역시 중구
편한 약업사,한약도매,"경상남도 창원시 의창구 의안로49번길 30, 창원공설시장 B동 108호 (북동)",경상남도 창원시 의창구 북동 249-1 창원공설시장,35.26618055,128.6206956,영업,Y,Y,,창원보건소,2023-07-11,5670000,경상남도 창원시
주안메디팜,일반종합도매,"경상남도 창원시 의창구 태복산로3번길 31-1, 가야빌딩 (도계동)",경상남도 창원시 의창구 도계동 404-5 가야빌딩,35.25470491,128.6369154,영업,Y,Y,,창원보건소,2023-07-11,5670000,경상남도 창원시
화성본초원,한약도매,"경상남도 창원시 의창구 평산로135번길 7, 1층 (서상동)",경상남도 창원시 의창구 서상동 706-8,35.3923358,128.6896663,영업,Y,Y,,창원보건소,2023-07-11,5670000,경상남도 창원시
엠알피(M.R.P.),일반종합도매,"경상남도 창원시 성산구 용지로 96, 하이페르 3층 312호 (중앙동)",경상남도 창원시 성산구 중앙동 95-1 하이페르,35.22412522,128.6780557,영업,Y,Y,,창원보건소,2023-07-11,5670000,경상남도 창원시
덕성팜,일반종합도매,"경상남도 창원시 의창구 남산로9번길 37, 302호 (팔용동)",경상남도 창원시 의창구 팔용동 193-14,35.26126463,128.6150231,영업,Y,Y,,창원보건소,2023-07-11,5670000,경상남도 창원시
(주)씨에스메디팜,일반종합도매,"경상남도 창원시 성산구 중앙대로 77, 동성올림픽타운 (중앙동)",경상남도 창원시 성산구 중앙동 97-2 동성올림픽타운 401호,35.22223335,128.6777326,영업,Y,Y,,창원보건소,2023-07-11,5670000,경상남도 창원시
주식회사 에스유메디칼,일반종합도매,"경상남도 창원시 의창구 중동중앙로 47, 어반브릭스 901호 (중동)",경상남도 창원시 의창구 중동 784-1 어반브릭스,35.25662601,128.6249983,영업,Y,Y,,창원보건소,2023-07-11,5670000,경상남도 창원시
와이지 약품,일반종합도매,"경상남도 창원시 의창구 팔용로 497, 202호 (팔용동)",경상남도 창원시 의창구 팔용동 187-12,35.25991679,128.616917,영업,Y,Y,,창원보건소,2023-07-11,5670000,경상남도 창원시
우수약품(주),일반종합도매,"경상남도 창원시 성산구 상남로 71, 창원코아상가 (상남동)",경상남도 창원시 성산구 상남동 73-4 창원코아상가,35.22044242,128.6795415,영업,Y,Y,,창원보건소,2023-07-11,5670000,경상남도 창원시
모두약품,일반종합도매,"경상남도 창원시 성산구 상남로 71, 창원코아상가 (상남동)",경상남도 창원시 성산구 상남동 73-4 창원코아상가 311호,35.22044242,128.6795415,영업,Y,Y,,창원보건소,2023-07-11,5670000,경상남도 창원시
엠에스컴퍼니,일반종합도매,"경상남도 창원시 의창구 대산면 진산대로 277-3, 1동 2층 일부호",경상남도 창원시 의창구 대산면 제동리 491-3,35.32594258,128.7152376,영업,Y,Y,,창원보건소,2023-07-11,5670000,경상남도 창원시
정약품,일반종합도매,경상남도 창원시 의창구 북면 천주로1165번길 32-11,경상남도 창원시 의창구 북면 신촌리 403-9,35.35650308,128.6077633,영업,Y,Y,,창원보건소,2023-07-11,5670000,경상남도 창원시
린데코리아주식회사,기타(의료용 고압가스),"경상남도 창원시 성산구 삼동로 100-31, 프렉스에어코리아(주) (내동)",경상남도 창원시 성산구 내동 452-6,35.22294917,128.6564973,영업,Y,Y,,창원보건소,2023-07-11,5670000,경상남도 창원시
인터내셔널인베스트먼트(주),일반종합도매,경상남도 창원시 의창구 대봉로 20 (봉림동),경상남도 창원시 의창구 봉림동 713-2,35.25086937,128.6672371,영업,Y,Y,,창원보건소,2023-07-11,5670000,경상남도 창원시
진주산소,기타(의료용 고압가스),"경상남도 창원시 의창구 차룡로48번길 57, 가스충전소 (팔용동)",경상남도 창원시 의창구 팔용동 39-14,35.24135201,128.6332627,영업,Y,Y,,창원보건소,2023-07-11,5670000,경상남도 창원시
주식회사 시제이팜,일반종합도매,"경상남도 창원시 의창구 대산면 진산대로 277-3, 2동 1층 일부호",경상남도 창원시 의창구 대산면 제동리 491-3,35.32594258,128.7152376,영업,Y,Y,,창원보건소,2023-07-11,5670000,경상남도 창원시
경원팜,일반종합도매,경상남도 창원시 의창구 대산면 진산대로 394-23,경상남도 창원시 의창구 대산면 제동리 262번지 3호,35.33512952,128.7105884,영업,Y,Y,,창원보건소,2023-07-11,5670000,경상남도 창원시
두루팜,일반종합도매,"경상남도 창원시 의창구 대산면 진산대로 277-3, 1,2동 1동1층,2동102호",경상남도 창원시 의창구 대산면 제동리 491-3,35.32594258,128.7152376,영업,Y,Y,,창원보건소,2023-07-11,5670000,경상남도 창원시
시올메디칼(주),일반종합도매,경상남도 창원시 성산구 연덕로184번길 33 (내동),경상남도 창원시 성산구 내동 456-24,35.21752515,128.669322,영업,Y,Y,,창원보건소,2023-07-11,5670000,경상남도 창원시
에코메디칼,일반종합도매,"경상남도 창원시 의창구 의창대로210번길 14, 1층 101호 (서상동)",경상남도 창원시 의창구 서상동 651번지 9호,35.26013169,128.6206375,영업,Y,Y,,창원보건소,2023-07-11,5670000,경상남도 창원시
주식회사 백건,일반종합도매,"경상남도 창원시 성산구 삼정자로 7, 남천프라자 5층 501호 (성주동)",경상남도 창원시 성산구 성주동 146번지 4호 남천프라자5층 501호,35.19812496,128.7063872,영업,Y,Y,,창원보건소,2023-07-11,5670000,경상남도 창원시
중동팜 주식회사,일반종합도매,경상남도 창원시 의창구 평산로159번길 35 (서상동),경상남도 창원시 의창구 서상동 698번지 8호,35.25560367,128.6202408,영업,Y,Y,,창원보건소,2023-07-11,5670000,경상남도 창원시
에스비팜,일반종합도매,"경상남도 창원시 성산구 신월로 42, 토월복합상가 6층 612호 (신월동)",경상남도 창원시 성산구 신월동 68번지 1호 토월시장,35.22223335,128.6777326,영업,Y,Y,,창원보건소,2023-07-11,5670000,경상남도 창원시
창인약품,일반종합도매,"경상남도 창원시 의창구 무역로503번길 17, 대동백화점 물류센터 (팔용동)",경상남도 창원시 의창구 팔용동 2-1,35.22592815,128.6349791,영업,Y,Y,,창원보건소,2023-07-11,5670000,경상남도 창원시
스마트팜,일반종합도매,"경상남도 창원시 성산구 상남로 89, 화신상가 (상남동)",경상남도 창원시 성산구 상남동 76-3 화신상가,35.22187418,128.680749,영업,Y,Y,,창원보건소,2023-07-11,5670000,경상남도 창원시
(주)바른약품,일반종합도매,경상남도 창원시 의창구 북면 천주로1165번길 32-11,경상남도 창원시 의창구 북면 신촌리 403-9,35.35650308,128.6077633,영업,Y,Y,,창원보건소,2023-07-11,5670000,경상남도 창원시
이에스팜,일반종합도매,"경상남도 창원시 의창구 평산로163번길 4-12, 1층 (서상동)",경상남도 창원시 의창구 서상동 687번지 9호,35.25725344,128.6234681,영업,Y,Y,,창원보건소,2023-07-11,5670000,경상남도 창원시
(주)엔알컴퍼니,일반종합도매,"경상남도 창원시 의창구 대산면 진산대로 277-3, 2동 103호",경상남도 창원시 의창구 대산면 제동리 491-3,35.32594258,128.7152376,영업,Y,Y,,창원보건소,2023-07-11,5670000,경상남도 창원시
세계약품,일반종합도매,"경상남도 창원시 의창구 북면 동전로110번길 8, 플래츠나인 2층 204호",경상남도 창원시 의창구 북면 감계리 56,35.30533048,128.5969404,영업,Y,Y,,창원보건소,2023-07-11,5670000,경상남도 창원시
(주)수메디팜,일반종합도매,"경상남도 창원시 의창구 남산로 31, 2층 (팔용동, 덕산다모아빌딩)",경상남도 창원시 의창구 팔용동 170번지 10호 덕산다모아빌딩 2층,35.25878053,128.6135217,영업,Y,Y,,창원보건소,2023-07-11,5670000,경상남도 창원시
황우,한약도매,"경상남도 창원시 성산구 상남로 260, 지하층 (신월동)",경상남도 창원시 성산구 신월동 1번지 3호,35.22223335,128.6777326,영업,Y,Y,,창원보건소,2023-07-11,5670000,경상남도 창원시
Sky pharm,일반종합도매,"경상남도 창원시 의창구 평산로207번길 4, 5층 505호 (서상동)",경상남도 창원시 의창구 서상동 666번지 5호 505호,35.26016946,128.625896,영업,Y,Y,,창원보건소,2023-07-11,5670000,경상남도 창원시
세한약품,일반종합도매,"경상남도 창원시 성산구 중앙대로 77, 동성올림픽타운 601호 (중앙동)",경상남도 창원시 성산구 중앙동 97-2 동성올림픽타운,35.22223335,128.6777326,영업,Y,Y,,창원보건소,2023-07-11,5670000,경상남도 창원시
청강약품,일반종합도매,"경상남도 창원시 의창구 팔용로 499 (팔용동, 삼진빌딩2층)",경상남도 창원시 의창구 팔용동 187번지 11호 삼진빌딩 2층,35.25999411,128.6170386,영업,Y,Y,,창원보건소,2023-07-11,5670000,경상남도 창원시
대동약품,일반종합도매,"경상남도 창원시 의창구 팔용로 499 (팔용동, 삼진빌딩2층)",경상남도 창원시 의창구 팔용동 187번지 11호 삼진빌딩 2층,35.25999411,128.6170386,영업,Y,Y,,창원보건소,2023-07-11,5670000,경상남도 창원시
제이에이치팜,일반종합도매,경상남도 창원시 의창구 도계로 47 (도계동),경상남도 창원시 의창구 도계동 326번지 17호,35.26021914,128.6371401,영업,Y,Y,,창원보건소,2023-07-11,5670000,경상남도 창원시
진메디팜,일반종합도매,경상남도 창원시 의창구 동읍 동읍로83번길 9,경상남도 창원시 의창구 동읍 용잠리 703,35.28324613,128.6814429,영업,Y,Y,,창원보건소,2023-07-11,5670000,경상남도 창원시
지엠팜,일반종합도매,"경상남도 창원시 성산구 중앙대로100번길 14, 스타타워즈오피스텔 13층 1316호 (상남동)",경상남도 창원시 성산구 상남동 76번지 1호 스타타워즈오피스텔,35.22238275,128.6811056,영업,Y,Y,,창원보건소,2023-07-11,5670000,경상남도 창원시
광우한약품,한약도매,경상남도 창원시 의창구 대산면 우암로99번길 56,창원시 의창구 대산면 유등리 802-2,35.3336665,128.7324296,영업,Y,Y,,창원보건소,2023-07-11,5670000,경상남도 창원시
경남나눔한약,한약도매,"경상남도 창원시 의창구 의안로12번길 3 (소답동, 102호)",경상남도 창원시 의창구 소답동 111-3,35.26275842,128.6242039,영업,Y,Y,,창원보건소,2023-07-11,5670000,경상남도 창원시
에이팜,일반종합도매,"경상남도 창원시 의창구 하남천서길9번길 20-10(도계동, 우성빌라)",경상남도 창원시 의창구 도계동 312-21 우성빌라,35.26122236,128.6379675,영업,Y,Y,,창원보건소,2023-07-11,5670000,경상남도 창원시
(주)세유홀딩스,일반종합도매,"경상남도 창원시 의창구 의안로27번길 19, 3층 (중동)",경상남도 창원시 의창구 중동 607번지,35.26386466,128.6217999802,영업,Y,Y,,창원보건소,2023-07-11,5670000,경상남도 창원시
씨앤메디칼,일반종합도매,"경상남도 창원시 의창구 의창대로282번길 9-4, 1층 (중동)",경상남도 창원시 의창구 중동 761번지 2호,35.26030737,128.6291966,영업,Y,Y,,창원보건소,2023-07-11,5670000,경상남도 창원시
(주)티에스팜,일반종합도매,"경상남도 창원시 의창구 대산면 진산대로 277-3, 2동 101호",경상남도 창원시 의창구 대산면 제동리 491-3,35.32594258,128.7152376,영업,Y,Y,,창원보건소,2023-07-11,5670000,경상남도 창원시
세인약품(주),일반종합도매,"경상남도 창원시 의창구 대봉로 20, 6층 604-1호 (봉림동)",경상남도 창원시 의창구 봉림동 713번지 2호,35.25086937,128.6672371,영업,Y,Y,,창원보건소,2023-07-11,5670000,경상남도 창원시
(주)디와이메디칼,일반종합도매,"경상남도 창원시 의창구 무역로 553, 2층 (팔용동)",경상남도 창원시 의창구 팔용동 8-53,35.22775495,128.6386761,영업,Y,Y,,창원보건소,2023-07-11,5670000,경상남도 창원시
온누리팜,일반종합도매,경상남도 창원시 의창구 의안로17번길 11 (중동),경상남도 창원시 의창구 북면 신촌리 995-1번지 대호상가 209호,35.2634303,128.6225976,영업,Y,Y,,창원보건소,2023-07-11,5670000,경상남도 창원시
케이에스메디팜,일반종합도매,"경상남도 창원시 의창구 대산면 진산대로 277-3, 2층",경상남도 창원시 의창구 대산면 제동리 491-3,35.32594258,128.7152376,영업,Y,Y,,창원보건소,2023-07-11,5670000,경상남도 창원시
씨에스메디팜,일반종합도매,경상남도 창원시 의창구 남산로9번길 50 (팔용동),경상남도 창원시 의창구 팔용동 195-13번지 3층,35.26100859,128.616245,영업,Y,Y,,창원보건소,2023-07-11,5670000,경상남도 창원시
(주)경원약품,일반종합도매,"경상남도 창원시 의창구 대산면 진산대로 277-3, 2동 1층 104호",경상남도 창원시 의창구 대산면 제동리 491-3,35.32594258,128.7152376,영업,Y,Y,,창원보건소,2023-07-11,5670000,경상남도 창원시
장백메디칼,일반종합도매,경상남도 창원시 의창구 북면 달천길 72,경상남도 창원시 의창구 북면 외감리 648,35.28825177,128.598872,영업,Y,Y,,창원보건소,2023-07-11,5670000,경상남도 창원시
(주)제이디팜,일반종합도매,경상남도 창원시 의창구 남산로 14 (팔용동),창원시 의창구 팔용동 165-4,35.25939835,128.6117138,영업,Y,Y,,창원보건소,2023-07-11,5670000,경상남도 창원시
(주)우진팜,일반종합도매,경상남도 창원시 의창구 사화로9번길 13 (팔용동),경상남도 창원시 팔용동 163-12,35.25838228,128.6097804,영업,Y,Y,,창원보건소,2023-07-11,5670000,경상남도 창원시
세화약품(주) 경남지점,일반종합도매,경상남도 창원시 의창구 의창대로54번길 14-16 (팔용동),경상남도 창원시 팔용동 151-7,35.25494745,128.6072101,영업,Y,Y,,창원보건소,2023-07-11,5670000,경상남도 창원시
(주)한중약품,일반종합도매,경상남도 창원시 의창구 동읍 동읍로 17-16,경상남도 창원시 의창구 동읍 용잠리 452번지 1호,35.27910335,128.6822404,영업,Y,Y,,창원보건소,2023-07-11,5670000,경상남도 창원시
건후유통,일반종합도매,경상남도 창원시 의창구 북면 마산길42번길 25-1,경상남도 창원시 의창구 북면 마산리 202번지,35.34226092,128.6182239,영업,Y,Y,,창원보건소,2023-07-11,5670000,경상남도 창원시
(주)라이프메딕스,일반종합도매,"경상남도 창원시 성산구 동산로220번길 25, 삼복빌딩 4층 (사파동)",경상남도 창원시 성산구 사파동 124-5 삼복빌딩,35.2243959,128.6988915,영업,Y,Y,,창원보건소,2023-07-11,5670000,경상남도 창원시
명성당건재한약품,한약도매,경상남도 창원시 의창구 도계로 37 (도계동),경상남도 창원시 도계동 327-14 일호상가 201호,35.26082215,128.636441,영업,Y,Y,,창원보건소,2023-07-11,5670000,경상남도 창원시
(주)젠스팜,일반종합도매,경상남도 창원시 의창구 남산로9번길 37 (팔용동),"경상남도 창원시 팔용동 193-14, 2층",35.26126463,128.6150231,영업,Y,Y,,창원보건소,2023-07-11,5670000,경상남도 창원시
계림약품,일반종합도매,"경상남도 창원시 의창구 동읍 의창대로915번길 2, 청담빌딩 3층",경상남도 창원시 의창구 동읍 용잠리 252-5 청담빌딩,35.27934984,128.6907768,영업,Y,Y,,창원보건소,2023-07-11,5670000,경상남도 창원시
삼우메디,일반종합도매,경상남도 창원시 의창구 서상로11번길 3 (동정동),경상남도 창원시 의창구 동정동 541번지 1호,35.26263334,128.6141033,영업,Y,Y,,창원보건소,2023-07-11,5670000,경상남도 창원시
대원당건재한약품,한약도매,경상남도 창원시 의창구 의안로28번길 1 (소답동),경상남도 창원시 소답동 108-18 1층,35.26405697,128.6240173,영업,Y,Y,,창원보건소,2023-07-11,5670000,경상남도 창원시
금성약품(주),일반종합도매,"경상남도 창원시 의창구 무역로503번길 17, 대동백화점 물류센터 204호 (팔용동)",경상남도 창원시 의창구 팔용동 2-1 대동백화점 물류센터,35.22592815,128.6349791,영업,Y,Y,,창원보건소,2023-07-11,5670000,경상남도 창원시
에스엠피㈜,일반종합도매,경상남도 창원시 의창구 의창대로116번길 2 (팔용동),경상남도 창원시 팔용동 167-2,35.2602907,128.6113318,영업,Y,Y,,창원보건소,2023-07-11,5670000,경상남도 창원시
삼일가스,기타(의료용 고압가스),경상남도 창원시 진해구 진해대로1114번길 122 (행암동),경상남도 창원시 진해구 행암동 31-5,35.1208696,128.7049918,영업,Y,Y,,진해보건소,2023-07-11,5670000,경상남도 창원시
진양특수가스,기타(의료용 고압가스),경상남도 창원시 진해구 진해대로1114번길 122 (행암동),경상남도 창원시 진해구 행암동 31-5,35.1208696,128.7049918,영업,Y,Y,,진해보건소,2023-07-11,5670000,경상남도 창원시
(주)엠에스신항만가스,기타(의료용 고압가스),"경상남도 창원시 진해구 용원로101번길 12, (주)엠에스 신항만가스 (용원동)",경상남도 창원시 진해구 용원동 1121,35.09920148,128.820724,영업,Y,Y,,진해보건소,2023-07-11,5670000,경상남도 창원시
"진해산소,일사가스",기타(의료용 고압가스),경상남도 창원시 진해구 진해대로1114번길 116 (행암동),경상남도 창원시 진해구 행암동 30-4,35.12128003,128.705798,영업,Y,Y,,진해보건소,2023-07-11,5670000,경상남도 창원시
제생당한약,한약도매,경상남도 창원시 진해구 백구로 71 (익선동),경상남도 창원시 진해구 익선동 24-3,35.15084007,128.6579498,영업,Y,Y,,진해보건소,2023-07-11,5670000,경상남도 창원시
대신당건재약품,한약도매,경상남도 창원시 진해구 충장로 357 (경화동),경상남도 창원시 진해구 경화동 972-7,35.15391376,128.6911033,영업,Y,Y,,진해보건소,2023-07-11,5670000,경상남도 창원시
본초당건재한약품,한약도매,경상남도 창원시 진해구 경화로 22-4 (경화동),경상남도 창원시 진해구 경화동 471,35.15530008,128.6865425,영업,Y,Y,,진해보건소,2023-07-11,5670000,경상남도 창원시
진해건재한약품,한약도매,경상남도 창원시 진해구 이동로 40-1 (이동),경상남도 창원시 진해구 이동 611-2,35.1507936,128.6963003,영업,Y,Y,,진해보건소,2023-07-11,5670000,경상남도 창원시
하남약품,일반종합도매,"경상남도 창원시 마산합포구 현동7길 35, 2층 202호 (현동)",경상남도 창원시 마산합포구 현동 380,35.1503475,128.5535564,영업,Y,N,,마산보건소,2023-07-11,5670000,경상남도 창원시
엠제이팜,일반종합도매,"경상남도 창원시 마산회원구 내서읍 삼계8길 31, 제상가동 2층 201호 (화성아파트)",경상남도 창원시 마산회원구 내서읍 삼계리 14 화성아파트,35.23325501,128.5005731,영업,Y,N,,마산보건소,2023-07-11,5670000,경상남도 창원시
이산메디케어,일반종합도매,"경상남도 창원시 마산회원구 회성남8길 137, 308호 (회성동)",경상남도 창원시 마산회원구 회성동 129-3,35.23199703,128.556838,영업,Y,N,,마산보건소,2023-07-11,5670000,경상남도 창원시
창신에너지(주),기타(의료용 고압가스),경상남도 창원시 마산회원구 내서읍 광려천남로 135,경상남도 창원시 마산회원구 내서읍 중리 1127-35,35.24141302,128.5065761,영업,Y,Y,,마산보건소,2023-07-11,5670000,경상남도 창원시
우솔약품,일반종합도매,"경상남도 창원시 마산합포구 현동4길 5, 성원빌딩 제501-2호 (현동)",경상남도 창원시 마산합포구 현동 370,35.15089596,128.5531936,영업,Y,N,,마산보건소,2023-07-11,5670000,경상남도 창원시
이유팜주식회사,일반종합도매,"경상남도 창원시 마산회원구 내서읍 광려천남로 59, 경남로봇랜드재단 2층 216호",경상남도 창원시 마산회원구 내서읍 중리 1121-9 경남로봇랜드재단,35.24632294,128.5112411,영업,Y,N,,마산보건소,2023-07-11,5670000,경상남도 창원시
주식회사에스에이치팜,일반종합도매,"경상남도 창원시 마산회원구 내서읍 죽암로 77-13, 팔래스오피스텔 112호",경상남도 창원시 마산회원구 내서읍 중리 794-4 팔래스오피스텔 112호,35.25880529,128.5091696,영업,Y,N,,마산보건소,2023-07-11,5670000,경상남도 창원시
장수약품,일반종합도매,"경상남도 창원시 마산회원구 회성남8길 137, 지상3층 303호 (회성동)",경상남도 창원시 마산회원구 회성동 129-3,35.23199703,128.556838,영업,Y,N,,마산보건소,2023-07-11,5670000,경상남도 창원시
대성종합가스,기타(의료용 고압가스),"경상남도 창원시 마산합포구 어시장8길 58, 지상1층 (남성동)",경상남도 창원시 마산합포구 남성동 245-1,35.2019601,128.5761863,영업,Y,Y,,마산보건소,2023-07-11,5670000,경상남도 창원시
영우약품주식회사,일반종합도매,"경상남도 창원시 마산합포구 성호동1길 1, 지로빌딩 5층 (추산동)",경상남도 창원시 마산합포구 추산동 1-55 지로빌딩,35.2105221,128.5721756,영업,Y,N,,마산보건소,2023-07-11,5670000,경상남도 창원시
동경약품,일반종합도매,"경상남도 창원시 마산회원구 내서읍 중리1길 103, 진한빌딩 지상6층",경상남도 창원시 마산회원구 내서읍 중리 1033 동의당한약국,35.24991856,128.5099682,영업,Y,N,,마산보건소,2023-07-11,5670000,경상남도 창원시
제이에스팜,일반종합도매,"경상남도 창원시 마산합포구 문화북1길 65, 202호 (두월동2가, 두월동 상우 the 헤라우스)",경상남도 창원시 마산합포구 두월동 2가 7-1 두월동 상우 the 헤라우스 202호,35.18611012,128.5605708,영업,Y,N,,마산보건소,2023-07-11,5670000,경상남도 창원시
엔씨메디팜,일반종합도매,"경상남도 창원시 마산합포구 현동로 50, 중앙빌딩 4층 401호 (현동)",경상남도 창원시 마산합포구 현동 371,35.15109232,128.5535471,영업,Y,N,,마산보건소,2023-07-11,5670000,경상남도 창원시
